image_path;class;split;Kfold_04;Kfold_08
.\data\img\Beella_digitata\00025-Beella_digitata.jpg;Beella_digitata;1;2;4
.\data\img\Beella_digitata\00026-Beella_digitata.jpg;Beella_digitata;0;0;0
.\data\img\Beella_digitata\00027-Beella_digitata.jpg;Beella_digitata;1;3;6
.\data\img\Beella_digitata\00028-Beella_digitata.jpg;Beella_digitata;1;3;7
.\data\img\Beella_digitata\00029-Beella_digitata.jpg;Beella_digitata;0;0;0
.\data\img\Beella_digitata\00030-Beella_digitata.jpg;Beella_digitata;1;3;7
.\data\img\Beella_digitata\00031-Beella_digitata.jpg;Beella_digitata;1;2;4
.\data\img\Beella_digitata\00032-Beella_digitata.jpg;Beella_digitata;1;3;6
.\data\img\Beella_digitata\00033-Beella_digitata.jpg;Beella_digitata;1;1;2
.\data\img\Beella_digitata\00034-Beella_digitata.jpg;Beella_digitata;1;2;4
.\data\img\Beella_digitata\00035-Beella_digitata.jpg;Beella_digitata;1;1;3
.\data\img\Beella_digitata\00036-Beella_digitata.jpg;Beella_digitata;1;2;4
.\data\img\Beella_digitata\00037-Beella_digitata.jpg;Beella_digitata;1;0;1
.\data\img\Beella_digitata\00038-Beella_digitata.jpg;Beella_digitata;1;1;2
.\data\img\Beella_digitata\00039-Beella_digitata.jpg;Beella_digitata;1;2;5
.\data\img\Beella_digitata\00040-Beella_digitata.jpg;Beella_digitata;1;3;7
.\data\img\Candeina_nitida\00041-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00042-Candeina_nitida.jpg;Candeina_nitida;1;0;1
.\data\img\Candeina_nitida\00043-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00044-Candeina_nitida.jpg;Candeina_nitida;1;0;1
.\data\img\Candeina_nitida\00045-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00046-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00047-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00048-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00049-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00050-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00051-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00052-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00053-Candeina_nitida.jpg;Candeina_nitida;0;0;1
.\data\img\Candeina_nitida\00054-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00055-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00056-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00057-Candeina_nitida.jpg;Candeina_nitida;1;0;1
.\data\img\Candeina_nitida\00058-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00059-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00060-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00061-Candeina_nitida.jpg;Candeina_nitida;0;0;1
.\data\img\Candeina_nitida\00062-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00063-Candeina_nitida.jpg;Candeina_nitida;1;0;1
.\data\img\Candeina_nitida\00064-Candeina_nitida.jpg;Candeina_nitida;0;0;1
.\data\img\Candeina_nitida\00065-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00066-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00067-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00068-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00069-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00070-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00071-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00072-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00073-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00074-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00075-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00076-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00077-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00078-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00079-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00080-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00081-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00082-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00083-Candeina_nitida.jpg;Candeina_nitida;1;0;1
.\data\img\Candeina_nitida\00084-Candeina_nitida.jpg;Candeina_nitida;0;0;1
.\data\img\Candeina_nitida\00085-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00086-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00087-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00088-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00089-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00090-Candeina_nitida.jpg;Candeina_nitida;1;0;1
.\data\img\Candeina_nitida\00091-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00092-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00093-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00094-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00095-Candeina_nitida.jpg;Candeina_nitida;1;2;3
.\data\img\Candeina_nitida\00096-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00097-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00098-Candeina_nitida.jpg;Candeina_nitida;1;0;1
.\data\img\Candeina_nitida\00099-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00100-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00101-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00102-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00103-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00104-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00105-Candeina_nitida.jpg;Candeina_nitida;1;0;1
.\data\img\Candeina_nitida\00106-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00107-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00108-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00109-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00110-Candeina_nitida.jpg;Candeina_nitida;1;3;5
.\data\img\Candeina_nitida\00111-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00112-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00113-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00114-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00115-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00116-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00117-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00118-Candeina_nitida.jpg;Candeina_nitida;1;0;1
.\data\img\Candeina_nitida\00119-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00120-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00121-Candeina_nitida.jpg;Candeina_nitida;1;0;1
.\data\img\Candeina_nitida\00122-Candeina_nitida.jpg;Candeina_nitida;1;0;1
.\data\img\Candeina_nitida\00123-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00124-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00125-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00126-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00127-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00128-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00129-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00130-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00131-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00132-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00133-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00134-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00135-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00136-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00137-Candeina_nitida.jpg;Candeina_nitida;1;0;1
.\data\img\Candeina_nitida\00138-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00139-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00140-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00141-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00142-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00143-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00144-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00145-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00146-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00147-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00148-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00149-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00150-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00151-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00152-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00153-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00154-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00155-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00156-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00157-Candeina_nitida.jpg;Candeina_nitida;1;1;2
.\data\img\Candeina_nitida\00158-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00159-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00160-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00161-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00162-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Candeina_nitida\00163-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00164-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00165-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00166-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00167-Candeina_nitida.jpg;Candeina_nitida;1;3;7
.\data\img\Candeina_nitida\00168-Candeina_nitida.jpg;Candeina_nitida;1;3;6
.\data\img\Candeina_nitida\00169-Candeina_nitida.jpg;Candeina_nitida;0;0;0
.\data\img\Candeina_nitida\00170-Candeina_nitida.jpg;Candeina_nitida;1;1;3
.\data\img\Candeina_nitida\00171-Candeina_nitida.jpg;Candeina_nitida;1;2;5
.\data\img\Candeina_nitida\00172-Candeina_nitida.jpg;Candeina_nitida;0;0;1
.\data\img\Candeina_nitida\00173-Candeina_nitida.jpg;Candeina_nitida;1;2;4
.\data\img\Globigerina_bulloides\00174-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;1
.\data\img\Globigerina_bulloides\00175-Globigerina_bulloides.jpg;Globigerina_bulloides;1;0;1
.\data\img\Globigerina_bulloides\00176-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;4
.\data\img\Globigerina_bulloides\00177-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00178-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00179-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00180-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;3
.\data\img\Globigerina_bulloides\00181-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;4
.\data\img\Globigerina_bulloides\00182-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00183-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00184-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00185-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00186-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00187-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00188-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00189-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00190-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;4
.\data\img\Globigerina_bulloides\00191-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00192-Globigerina_bulloides.jpg;Globigerina_bulloides;1;0;1
.\data\img\Globigerina_bulloides\00193-Globigerina_bulloides.jpg;Globigerina_bulloides;1;0;1
.\data\img\Globigerina_bulloides\00194-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;3
.\data\img\Globigerina_bulloides\00195-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00196-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00197-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00198-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00199-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00200-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00201-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00202-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00203-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00204-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00205-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00206-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00207-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00208-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00209-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;3
.\data\img\Globigerina_bulloides\00210-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;4
.\data\img\Globigerina_bulloides\00211-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00212-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00213-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00214-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00215-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00216-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00217-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00218-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00219-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00220-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00221-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;4
.\data\img\Globigerina_bulloides\00222-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00223-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;4
.\data\img\Globigerina_bulloides\00224-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00225-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00226-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00227-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00228-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00229-Globigerina_bulloides.jpg;Globigerina_bulloides;1;0;1
.\data\img\Globigerina_bulloides\00230-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00231-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00232-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00233-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00234-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;1
.\data\img\Globigerina_bulloides\00235-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00236-Globigerina_bulloides.jpg;Globigerina_bulloides;1;0;1
.\data\img\Globigerina_bulloides\00237-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00238-Globigerina_bulloides.jpg;Globigerina_bulloides;1;0;1
.\data\img\Globigerina_bulloides\00239-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;3
.\data\img\Globigerina_bulloides\00240-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;1
.\data\img\Globigerina_bulloides\00241-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00242-Globigerina_bulloides.jpg;Globigerina_bulloides;1;0;1
.\data\img\Globigerina_bulloides\00243-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00244-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;3
.\data\img\Globigerina_bulloides\00245-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00246-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;4
.\data\img\Globigerina_bulloides\00247-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00248-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00249-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00250-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00251-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00252-Globigerina_bulloides.jpg;Globigerina_bulloides;1;0;1
.\data\img\Globigerina_bulloides\00253-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00254-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;4
.\data\img\Globigerina_bulloides\00255-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00256-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00257-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00258-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00259-Globigerina_bulloides.jpg;Globigerina_bulloides;1;0;1
.\data\img\Globigerina_bulloides\00260-Globigerina_bulloides.jpg;Globigerina_bulloides;1;0;1
.\data\img\Globigerina_bulloides\00261-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00262-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00263-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00264-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00265-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;3
.\data\img\Globigerina_bulloides\00266-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00267-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00268-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00269-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00270-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;1
.\data\img\Globigerina_bulloides\00271-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;4
.\data\img\Globigerina_bulloides\00272-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;1
.\data\img\Globigerina_bulloides\00273-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00274-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00275-Globigerina_bulloides.jpg;Globigerina_bulloides;1;0;1
.\data\img\Globigerina_bulloides\00276-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00277-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;2
.\data\img\Globigerina_bulloides\00278-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00279-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00280-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00281-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00282-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;3
.\data\img\Globigerina_bulloides\00283-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;1
.\data\img\Globigerina_bulloides\00284-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;1
.\data\img\Globigerina_bulloides\00285-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;3
.\data\img\Globigerina_bulloides\00286-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;6
.\data\img\Globigerina_bulloides\00287-Globigerina_bulloides.jpg;Globigerina_bulloides;0;0;0
.\data\img\Globigerina_bulloides\00288-Globigerina_bulloides.jpg;Globigerina_bulloides;1;2;5
.\data\img\Globigerina_bulloides\00289-Globigerina_bulloides.jpg;Globigerina_bulloides;1;3;7
.\data\img\Globigerina_bulloides\00290-Globigerina_bulloides.jpg;Globigerina_bulloides;1;1;3
